epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.867,0.46954,3.66402,1.11591,0.01231,0.66667,0.13867,0.11607,0.79207,4.36505,1.55521,0.0673267,0.000330033,0.000330033
2,228.187,0.47467,2.94187,1.09321,0.58764,0.30231,0.31111,0.23925,1.02595,3.86196,1.68362,0.0343005,0.000637097,0.000637097
3,348.832,0.46184,2.46549,1.08902,0.54275,0.2872,0.33557,0.32471,0.48749,3.00759,1.17748,0.00124779,0.000917761,0.000917761
4,472.488,0.43878,2.13337,1.06375,0.59828,0.24748,0.30945,0.29312,0.33537,3.00206,0.96112,0.0008812,0.0008812,0.0008812
5,592.793,0.43171,1.91831,1.05783,0.81724,0.33333,0.48483,0.42437,0.45978,2.2529,1.03899,0.0008416,0.0008416,0.0008416
6,739.398,0.42185,1.78524,1.03977,0.84982,0.22917,0.33167,0.32959,0.30374,1.8864,0.93977,0.000802,0.000802,0.000802
7,888.501,0.39246,1.60656,1.03273,0.88239,0.35417,0.46986,0.45708,0.31505,1.32847,0.94135,0.0007624,0.0007624,0.0007624
8,1042.4,0.37454,1.49635,1.02348,0.63023,0.375,0.41458,0.40836,0.27467,1.26682,0.89579,0.0007228,0.0007228,0.0007228
9,1194.28,0.36852,1.32953,1.01884,0.75974,0.42348,0.48714,0.48403,0.25521,1.08899,0.87643,0.0006832,0.0006832,0.0006832
10,1348.91,0.34705,1.26998,1.00638,0.81,0.47917,0.52514,0.52168,0.27546,0.91591,0.89081,0.0006436,0.0006436,0.0006436
11,1505.09,0.34609,1.21965,1.00375,0.89242,0.54167,0.64951,0.64226,0.25703,0.795,0.8764,0.000604,0.000604,0.000604
12,1661.8,0.34676,1.16302,0.99629,0.84945,0.58286,0.64951,0.64571,0.26762,0.92001,0.87716,0.0005644,0.0005644,0.0005644
13,1845.86,0.32529,1.10162,0.99234,0.85665,0.52083,0.66852,0.65971,0.25989,0.86045,0.88922,0.0005248,0.0005248,0.0005248
14,2185.03,0.32384,1.13558,0.98998,0.94011,0.22917,0.26948,0.26948,0.25086,0.72786,0.8669,0.0004852,0.0004852,0.0004852
15,2653.63,0.30457,0.96089,0.98242,0.8503,0.41667,0.44222,0.43946,0.25989,0.70785,0.87514,0.0004456,0.0004456,0.0004456
